gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
969929911	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS215631969	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-10-28	28	10	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS215631969				CC_BY_4_0		obsr422887			2025-02-05T03:49:24.005Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
969907445	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS215807414	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-10-30	30	10	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS215807414				CC_BY_4_0		obsr422887			2025-02-05T03:49:24.647Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
969571424	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS215380840	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Grindon Lough	England	PRESENT	40	e2e717bf-551a-4917-bdc9-4fa0f342c530	55.004112	-2.303405							2013-10-26	26	10	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS215380840				CC_BY_4_0		obsr422887			2025-02-05T03:49:23.118Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
969276933	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS215031455	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-10-22	22	10	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS215031455				CC_BY_4_0		obsr422887			2025-02-05T03:49:22.046Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
967617529	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS213222645	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-10-06	6	10	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS213222645				CC_BY_4_0		obsr422887			2025-02-05T03:49:15.391Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
967347382	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS212912020	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-10-03	3	10	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS212912020				CC_BY_4_0		obsr422887			2025-02-05T03:49:14.360Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
967014792	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS212476120	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-09-29	29	9	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS212476120				CC_BY_4_0		obsr422887			2025-02-05T03:49:12.899Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
966414463	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS211834710	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-09-23	23	9	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS211834710				CC_BY_4_0		obsr422887			2025-02-05T00:30:44.878Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
966081611	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS211567886	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-09-21	21	9	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS211567886				CC_BY_4_0		obsr422887			2025-02-05T00:30:43.326Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
965981306	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS211494724	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-09-20	20	9	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS211494724				CC_BY_4_0		obsr422887			2025-02-05T03:49:09.521Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
